,symbol,expiration,strike,last,type,volume,open_interest,implied_volatility,delta,gamma,theta,vega,rho,T,bs_price,adjusted_price
24,APPS,2025-03-21,7.5,0.02,call,3,3649,4.05312,0.02406,0.04543,-0.01176,0.00017,1e-05,0.0027397260273972603,3.5856541349576945e-05,0.02
26,APPS,2025-03-21,9.0,0.04,call,0,905,4.78786,0.0211,0.03443,-0.01243,0.00016,1e-05,0.0027397260273972603,2.2840870039264366e-05,0.04
28,APPS,2025-03-21,10.0,0.05,call,0,267,5.19989,0.01979,0.03002,-0.01279,0.00015,0.0,0.0027397260273972603,1.809831389582955e-05,0.05
30,APPS,2025-03-21,11.0,0.11,call,0,78,5.56558,0.01877,0.02682,-0.01309,0.00014,0.0,0.0027397260273972603,1.4858837063837867e-05,0.11
32,APPS,2025-03-21,12.0,0.03,call,0,100,5.89408,0.01796,0.02439,-0.01335,0.00014,0.0,0.0027397260273972603,1.2526848873491392e-05,0.03
34,APPS,2025-04-17,1.0,2.17,call,0,1,0.36502,1.0,0.0,-0.00012,0.0,0.00082,0.07671232876712329,2.468828184026827,2.468828184026827
38,APPS,2025-04-17,2.0,1.75,call,0,73,0.83628,0.99025,0.03209,-0.00059,0.00025,0.00161,0.07671232876712329,1.4743572415128134,1.75
40,APPS,2025-04-17,2.5,1.08,call,2,227,1.10974,0.87023,0.1959,-0.00403,0.00205,0.00162,0.07671232876712329,1.0392202173266378,1.08
41,APPS,2025-04-17,2.5,0.08,put,4,121,1.10426,-0.12892,0.19598,-0.0037,0.00204,-0.00042,0.07671232876712329,0.06366546702282039,0.08
42,APPS,2025-04-17,3.0,0.76,call,9,170,1.06676,0.71368,0.32818,-0.00609,0.00331,0.00148,0.07671232876712329,0.6632988159690023,0.76
43,APPS,2025-04-17,3.0,0.23,put,279,116,1.15898,-0.29299,0.30535,-0.00631,0.00334,-0.00102,0.07671232876712329,0.21568666038497097,0.23
44,APPS,2025-04-17,3.5,0.44,call,22,457,1.14191,0.53069,0.35841,-0.00752,0.00387,0.00115,0.07671232876712329,0.42602235082127216,0.44
45,APPS,2025-04-17,3.5,0.47,put,5,547,1.07057,-0.47567,0.38271,-0.00666,0.00387,-0.00171,0.07671232876712329,0.42055020423500666,0.47
46,APPS,2025-04-17,4.0,0.2,call,32,2210,1.03612,0.34586,0.36622,-0.0063,0.00358,0.0008,0.07671232876712329,0.2141193309499665,0.2
47,APPS,2025-04-17,4.0,0.71,put,3,23,1.18474,-0.62052,0.33054,-0.00695,0.0037,-0.00243,0.07671232876712329,0.7881693412491764,0.8013412272801327
48,APPS,2025-04-17,4.5,0.17,call,3,126,1.18032,0.25548,0.2802,-0.00623,0.00312,0.00059,0.07671232876712329,0.15701102809428913,0.17
50,APPS,2025-04-17,5.0,0.12,call,1,67,1.22986,0.1799,0.21945,-0.00529,0.00255,0.00042,0.07671232876712329,0.10297516254036354,0.12
51,APPS,2025-04-17,5.0,1.6,put,5,5,1.18078,-0.83353,0.21756,-0.00424,0.00243,-0.0037,0.07671232876712329,1.6065298765015203,1.624200901878099
52,APPS,2025-04-17,5.5,0.05,call,6,138,0.85594,0.03326,0.08908,-0.00104,0.00072,8e-05,0.07671232876712329,0.01042504736414529,0.05
54,APPS,2025-04-17,6.0,0.07,call,0,14,0.97819,0.02985,0.07128,-0.00108,0.00066,7e-05,0.07671232876712329,0.01005374358641635,0.01008990690209669
56,APPS,2025-04-17,7.0,0.06,call,0,113,1.18688,0.02557,0.05163,-0.00115,0.00058,6e-05,0.07671232876712329,0.00958142590046393,0.06
58,APPS,2025-04-17,8.0,0.15,call,0,3,1.36096,0.02295,0.04112,-0.00121,0.00053,6e-05,0.07671232876712329,0.009285294357759183,0.009304630983259217
64,APPS,2025-06-20,0.5,3.07,call,0,39,2.69888,0.98171,0.00967,-0.00115,0.00077,0.00097,0.25205479452054796,3.022021422526678,3.023598917709237
66,APPS,2025-06-20,1.0,2.35,call,0,199,0.11911,1.0,0.0,-0.00012,0.0,0.00255,0.25205479452054796,2.4775235719360973,2.35
68,APPS,2025-06-20,1.5,1.75,call,0,761,1.40471,0.93522,0.05233,-0.00176,0.00218,0.00301,0.25205479452054796,2.0688574800663027,1.75
70,APPS,2025-06-20,2.0,1.71,call,1,352,1.19861,0.88297,0.09531,-0.00232,0.00338,0.00367,0.25205479452054796,1.6343724931545793,1.71
72,APPS,2025-06-20,2.5,0.99,call,0,350,1.16188,0.79679,0.1414,-0.00318,0.00486,0.00379,0.25205479452054796,1.286337733623452,0.99
74,APPS,2025-06-20,3.0,1.1,call,5,410,1.21736,0.70013,0.16599,-0.00404,0.00598,0.00354,0.25205479452054796,1.0472244424740285,1.1
75,APPS,2025-06-20,3.0,0.5,put,20,335,1.1727,-0.30095,0.17259,-0.00355,0.00599,-0.00404,0.25205479452054796,0.5181752640751488,0.5
76,APPS,2025-06-20,3.5,0.84,call,1,143,1.14816,0.6009,0.19548,-0.00421,0.00664,0.00331,0.25205479452054796,0.7893517377775414,0.84
77,APPS,2025-06-20,3.5,0.84,put,4,658,1.1916,-0.39435,0.18774,-0.00394,0.00662,-0.00563,0.25205479452054796,0.8093568875627479,0.84
78,APPS,2025-06-20,4.0,0.6,call,91,1117,1.1227,0.5056,0.20653,-0.00423,0.00686,0.00295,0.25205479452054796,0.601813800429871,0.6
79,APPS,2025-06-20,4.0,1.16,put,153,558,1.2166,-0.47657,0.19028,-0.0041,0.00685,-0.00725,0.25205479452054796,1.1517199210109985,1.16
80,APPS,2025-06-20,4.5,0.5,call,12,476,1.20532,0.44472,0.19054,-0.00448,0.0068,0.00259,0.25205479452054796,0.5264340942730805,0.5
82,APPS,2025-06-20,5.0,0.4,call,32,1022,1.17377,0.36849,0.18673,-0.00415,0.00649,0.00224,0.25205479452054796,0.401041543291062,0.4
83,APPS,2025-06-20,5.0,2.0,put,6,217,1.27346,-0.60293,0.176,-0.00401,0.00663,-0.01041,0.25205479452054796,1.9401256570667655,2.0
84,APPS,2025-06-20,5.5,0.45,call,0,3465,1.13566,0.29731,0.17724,-0.00368,0.00596,0.00187,0.25205479452054796,0.2963793236479384,0.45
86,APPS,2025-06-20,6.0,0.28,call,29,883,1.18703,0.26498,0.16039,-0.00363,0.00563,0.00167,0.25205479452054796,0.26384521538743533,0.28
87,APPS,2025-06-20,6.0,2.78,put,5,37,1.19861,-0.7311,0.16002,-0.00299,0.00568,-0.01359,0.25205479452054796,2.7304306459449683,2.7530522638466226
88,APPS,2025-06-20,7.0,0.2,call,1,390,1.157,0.17818,0.13099,-0.00281,0.00449,0.00117,0.25205479452054796,0.15860405735650257,0.2
90,APPS,2025-06-20,8.0,0.16,call,1,833,1.16203,0.12668,0.10393,-0.00225,0.00357,0.00085,0.25205479452054796,0.10561026339607404,0.16
92,APPS,2025-06-20,9.0,0.09,call,0,744,1.26858,0.11951,0.09139,-0.00235,0.00343,0.00079,0.25205479452054796,0.10476922269476652,0.09
94,APPS,2025-06-20,10.0,0.06,call,0,34,0.92149,0.01991,0.03043,-0.00041,0.00083,0.00015,0.25205479452054796,0.010777299615402025,0.010794144534700898
96,APPS,2025-06-20,11.0,0.09,call,0,39,0.98688,0.01887,0.02715,-0.00042,0.00079,0.00014,0.25205479452054796,0.01066299690659437,0.010677893113272883
98,APPS,2025-06-20,12.0,0.05,call,0,32,1.04572,0.01806,0.02467,-0.00043,0.00076,0.00013,0.25205479452054796,0.010579487286681823,0.01059293910476684
100,APPS,2025-09-19,0.5,2.7,call,0,6,1.53321,0.98981,0.00732,-0.00032,0.00065,0.00221,0.5013698630136987,2.9951019606772595,2.9962955088085894
102,APPS,2025-09-19,1.0,4.49,call,0,9,1.2637,0.96646,0.02446,-0.00071,0.0018,0.00409,0.5013698630136987,2.5438905646582834,2.5472306929696793
104,APPS,2025-09-19,1.5,5.05,call,0,15,1.31294,0.91358,0.04972,-0.00147,0.0038,0.00495,0.5013698630136987,2.189063143454755,2.19492107642664
106,APPS,2025-09-19,2.0,1.43,call,0,1,1.30547,0.85453,0.0725,-0.00207,0.00551,0.00546,0.5013698630136987,1.883802480389629,1.8911502519643888
108,APPS,2025-09-19,2.5,1.55,call,24,194,1.22605,0.79117,0.09708,-0.00244,0.00693,0.00589,0.5013698630136987,1.57873508394535,1.55
110,APPS,2025-09-19,3.0,1.31,call,1,289,1.09221,0.71708,0.12834,-0.00256,0.00817,0.00624,0.5013698630136987,1.2532049220469077,1.31
111,APPS,2025-09-19,3.0,0.8,put,5,543,1.16005,-0.27843,0.11991,-0.00233,0.0081,-0.00884,0.5013698630136987,0.7690322136851396,0.8
112,APPS,2025-09-19,3.5,1.25,call,2,233,1.13261,0.65202,0.13522,-0.00287,0.00892,0.00588,0.5013698630136987,1.0975456260388174,1.25
113,APPS,2025-09-19,3.5,1.03,put,25,130,1.15044,-0.34556,0.13278,-0.0025,0.0089,-0.01151,0.5013698630136987,1.061856870485104,1.03
114,APPS,2025-09-19,4.0,1.2,call,0,133,1.11234,0.58501,0.14522,-0.00296,0.00941,0.00559,0.5013698630136987,0.9221165099901805,1.2
116,APPS,2025-09-19,4.5,0.67,call,0,254,1.16005,0.53846,0.14183,-0.00313,0.00958,0.0052,0.5013698630136987,0.8380282885433126,0.67
118,APPS,2025-09-19,5.0,0.81,call,4,412,1.16462,0.48897,0.14188,-0.00314,0.00962,0.00485,0.5013698630136987,0.7339090410837834,0.81
120,APPS,2025-09-19,5.5,0.55,call,0,96,1.09953,0.42122,0.1474,-0.00291,0.00944,0.00445,0.5013698630136987,0.5791368246303189,0.55
122,APPS,2025-09-19,6.0,0.55,call,2,647,1.07026,0.36711,0.1458,-0.00272,0.00909,0.00403,0.5013698630136987,0.47515706211675435,0.55
124,APPS,2025-09-19,7.0,0.5,call,0,242,1.11996,0.31448,0.13133,-0.00267,0.00857,0.00348,0.5013698630136987,0.40087106470043643,0.5
126,APPS,2025-09-19,8.0,0.4,call,0,449,1.12545,0.25992,0.1194,-0.00245,0.00783,0.00295,0.5013698630136987,0.3167875668632061,0.4
128,APPS,2025-09-19,9.0,0.23,call,0,288,1.24968,0.26502,0.1086,-0.00274,0.00791,0.00288,0.5013698630136987,0.3465404919150906,0.23
130,APPS,2025-09-19,10.0,0.17,call,0,57,1.14221,0.18494,0.09681,-0.00204,0.00644,0.00216,0.5013698630136987,0.21136236779139728,0.17
134,APPS,2025-09-19,12.0,0.15,call,0,113,1.26005,0.17461,0.08464,-0.00216,0.00621,0.00199,0.5013698630136987,0.21016443595530843,0.15
136,APPS,2026-01-16,0.5,3.16,call,0,263,1.11234,0.99242,0.00607,-0.00017,0.00065,0.0037,0.8273972602739726,2.996587241786526,3.16
138,APPS,2026-01-16,1.0,2.6,call,1,339,1.33825,0.94948,0.02512,-0.00078,0.00322,0.00532,0.8273972602739726,2.6532795400998466,2.6
140,APPS,2026-01-16,1.5,2.05,call,0,936,1.09862,0.91157,0.04715,-0.00101,0.00496,0.00766,0.8273972602739726,2.2416449682129795,2.05
142,APPS,2026-01-16,2.0,1.77,call,0,554,1.11112,0.8561,0.06596,-0.0014,0.00702,0.00835,0.8273972602739726,1.9672006258188202,1.77
144,APPS,2026-01-16,2.5,1.7,call,4,1323,1.12118,0.8008,0.08052,-0.00172,0.00864,0.00862,0.8273972602739726,1.7427103404421662,1.7
146,APPS,2026-01-16,3.0,1.68,call,0,1773,1.11081,0.74634,0.09318,-0.00193,0.00991,0.00875,0.8273972602739726,1.5382608881996633,1.68
148,APPS,2026-01-16,3.5,1.28,call,0,1053,1.11188,0.69548,0.10176,-0.0021,0.01083,0.00864,0.8273972602739726,1.3740304084227517,1.28
150,APPS,2026-01-16,4.0,1.4,call,4,2605,1.10944,0.64745,0.1082,-0.00222,0.01149,0.00845,0.8273972602739726,1.2301728304945976,1.4
152,APPS,2026-01-16,4.5,1.3,call,6,74,1.09923,0.60071,0.11355,-0.00228,0.01195,0.00821,0.8273972602739726,1.0964525767873197,1.3
154,APPS,2026-01-16,5.0,0.95,call,17,2488,1.0599,0.54743,0.1208,-0.00225,0.01226,0.00796,0.8273972602739726,0.9422300976713703,0.95
156,APPS,2026-01-16,5.5,0.9,call,7,619,1.15654,0.54119,0.1109,-0.00244,0.01228,0.00754,0.8273972602739726,0.9709960399228588,0.9
158,APPS,2026-01-16,7.5,0.7,call,0,2089,1.05685,0.3807,0.11652,-0.00214,0.01179,0.00617,0.8273972602739726,0.5787196755217955,0.7
160,APPS,2026-01-16,10.0,0.4,call,5,1605,1.07407,0.28208,0.10167,-0.00191,0.01045,0.0048,0.8273972602739726,0.400744723255239,0.4
162,APPS,2026-01-16,12.5,0.3,call,10,1295,1.05609,0.20198,0.08619,-0.00156,0.00871,0.00362,0.8273972602739726,0.2646060065085894,0.3
164,APPS,2026-01-16,15.0,0.25,call,0,1917,1.08337,0.16518,0.07411,-0.00141,0.00769,0.003,0.8273972602739726,0.21178624208399582,0.25
166,APPS,2027-01-15,0.5,3.4,call,0,50,0.02045,1.0,0.0,-5e-05,0.0,0.00845,1.8246575342465754,3.008597356623451,3.008597356623451
168,APPS,2027-01-15,1.0,2.85,call,15,366,1.2381,0.9467,0.01911,-0.00051,0.00498,0.00804,1.8246575342465754,2.8454228415420246,2.85
170,APPS,2027-01-15,1.5,2.19,call,0,271,1.20486,0.91369,0.02849,-0.00072,0.00722,0.01002,1.8246575342465754,2.623897948801421,2.19
172,APPS,2027-01-15,2.0,2.25,call,0,210,0.9785,0.86872,0.04746,-0.00081,0.00977,0.01418,1.8246575342465754,2.24330966263516,2.25
174,APPS,2027-01-15,2.5,2.05,call,0,74,1.05533,0.83711,0.05086,-0.00098,0.01129,0.01387,1.8246575342465754,2.1502981036394124,2.05
176,APPS,2027-01-15,3.0,1.74,call,0,172,1.06386,0.80499,0.05651,-0.0011,0.01264,0.01426,1.8246575342465754,2.0179316589023735,1.74
178,APPS,2027-01-15,3.5,1.75,call,0,118,1.00777,0.76312,0.06678,-0.00117,0.01416,0.01532,1.8246575342465754,1.8155980882819769,1.75
180,APPS,2027-01-15,4.0,1.92,call,0,181,0.98292,0.72575,0.07392,-0.00123,0.01528,0.01574,1.8246575342465754,1.6630040206659795,1.92
182,APPS,2027-01-15,4.5,1.47,call,0,192,1.01508,0.70473,0.07415,-0.0013,0.01583,0.01535,1.8246575342465754,1.6109924232560888,1.47
184,APPS,2027-01-15,5.0,1.12,call,0,186,1.00792,0.6754,0.07782,-0.00134,0.0165,0.01537,1.8246575342465754,1.5086884698062737,1.12
186,APPS,2027-01-15,5.5,1.45,call,11,449,0.99603,0.64558,0.08146,-0.00137,0.01706,0.01534,1.8246575342465754,1.4064347292206647,1.45
188,APPS,2027-01-15,7.0,1.33,call,2,191,0.96737,0.56389,0.08877,-0.0014,0.01806,0.01485,1.8246575342465754,1.1498005328177254,1.33
190,APPS,2027-01-15,10.0,1.1,call,0,36,1.00792,0.47868,0.08618,-0.00146,0.01827,0.01323,1.8246575342465754,0.9421953974198796,0.9471160128829048
192,APPS,2027-01-15,12.0,0.75,call,0,86,0.96722,0.4008,0.08714,-0.00136,0.01773,0.01205,1.8246575342465754,0.735970831432879,0.75
